dataset,model,mode,tail_it1_pct,tail_it2_pct,tail_it3_pct,tail_it4_pct,tail_it5_pct,head_it1_pct,head_it2_pct,head_it3_pct,head_it4_pct,head_it5_pct,overall_it1_pct,overall_it2_pct,overall_it3_pct,overall_it4_pct,overall_it5_pct,it1_tail_gap,it1_head_gap,it2_tail_gap,it2_head_gap,it3_tail_gap,it3_head_gap,it4_tail_gap,it4_head_gap,it5_tail_gap,it5_head_gap,overall_trend_pp,final_overall_pct
BioKG,hake_both,add,28.50,31.20,32.60,31.80,32.40,73.90,70.20,70.30,67.60,67.70,51.20,50.70,51.50,49.70,50.00,,,,,,,,,,,-1.20,50.00
BioKG,hole,add,37.50,36.50,36.80,35.60,36.00,71.90,69.50,68.60,66.30,66.20,54.70,53.00,52.70,50.90,51.10,,,,,,,,,,,-3.60,51.10
BioKG,quate,add,35.40,34.30,34.20,32.90,33.60,67.80,65.20,62.60,62.30,61.90,51.60,49.70,48.40,47.60,47.70,,,,,,,,,,,-3.90,47.70
BioKG,rotate,add,20.80,34.30,34.60,37.30,35.40,73.70,65.30,65.40,64.00,63.90,47.20,49.80,50.00,50.70,49.60,,,,,,,,,,,2.40,49.60
BioKG,rotpro,add,19.50,31.30,32.90,33.20,34.40,73.10,65.30,64.40,63.10,62.60,46.30,48.30,48.60,48.10,48.50,,,,,,,,,,,2.20,48.50
BioKG,toruse_eL2,add,18.60,30.10,30.50,30.10,30.00,74.50,63.50,60.80,61.40,59.60,46.50,46.80,45.60,45.70,44.80,,,,,,,,,,,-1.70,44.80
BioKG,transe,add,20.30,25.00,26.00,27.40,26.30,71.70,66.30,65.30,66.00,65.10,46.00,45.70,45.60,46.70,45.70,,,,,,,,,,,-0.30,45.70
BioKG,tucker,add,32.20,32.10,34.30,33.30,32.80,69.20,66.30,65.20,65.30,63.90,50.70,49.20,49.70,49.30,48.30,,,,,,,,,,,-2.40,48.30
FB13,transe,add,0.20,1.00,0.90,1.00,0.90,94.10,48.80,51.30,41.80,44.00,47.10,24.90,26.10,21.40,22.40,,,,,,,,,,,-24.70,22.40
Hetionet,boxe,replace,66.50,44.40,54.60,44.40,54.60,52.80,53.10,57.00,53.10,57.00,59.70,48.70,55.80,48.70,55.80,,,,,,,,,,,-3.90,55.80
Hetionet,complex,replace,42.40,44.20,44.70,44.20,44.70,55.20,48.50,48.30,48.50,48.30,48.80,46.40,46.50,46.40,46.50,,,,,,,,,,,-2.30,46.50
Hetionet,hake_both,replace,58.40,47.10,52.50,47.10,52.50,55.70,55.00,55.50,55.00,55.50,57.10,51.00,54.00,51.00,54.00,,,,,,,,,,,-3.10,54.00
Hetionet,hole,replace,37.60,42.20,44.80,42.20,44.80,46.00,44.10,44.60,44.10,44.60,41.80,43.10,44.70,43.10,44.70,,,,,,,,,,,2.90,44.70
Hetionet,quate,replace,42.10,44.90,45.50,44.90,45.50,59.30,50.20,52.20,50.20,52.20,50.70,47.50,48.90,47.50,48.90,,,,,,,,,,,-1.80,48.90
Hetionet,rotate,replace,53.00,48.00,51.50,48.00,51.50,56.80,55.70,54.50,55.70,54.50,54.90,51.90,53.00,51.90,53.00,,,,,,,,,,,-1.90,53.00
Hetionet,rotpro,replace,46.40,53.00,46.80,53.00,46.80,52.60,52.00,49.50,52.00,49.50,49.50,52.50,48.10,52.50,48.10,,,,,,,,,,,-1.40,48.10
Hetionet,toruse_eL2,replace,49.50,49.70,48.50,49.70,48.50,51.40,50.80,53.50,50.80,53.50,50.40,50.30,51.00,50.30,51.00,,,,,,,,,,,0.60,51.00
Hetionet,transe,replace,59.30,49.90,50.30,49.90,50.30,52.10,55.40,57.80,55.40,57.80,55.70,52.60,54.00,52.60,54.00,,,,,,,,,,,-1.70,54.00
Hetionet,tucker,replace,49.90,49.40,50.00,49.40,50.00,47.70,47.80,48.90,47.80,48.90,48.80,48.60,49.40,48.60,49.40,,,,,,,,,,,0.60,49.40
FB13,tucker,add,26.10,22.20,21.40,21.10,20.50,51.50,55.20,38.70,39.50,39.70,38.80,38.70,30.10,30.30,30.10,,,,,,,,,,,-8.70,30.10
Hetionet,boxe,add,66.50,64.30,63.00,63.50,64.60,52.80,50.50,52.20,50.80,50.50,59.60,57.40,57.60,57.10,57.50,,,,,,,,,,,-2.10,57.50
Hetionet,complex,add,42.40,40.70,38.80,37.70,35.40,55.30,55.30,54.00,53.60,53.70,48.80,48.00,46.40,45.60,44.50,,,,,,,,,,,-4.30,44.50
Hetionet,hake_both,add,58.40,57.00,54.40,54.50,51.30,55.60,54.20,54.80,54.60,54.60,57.00,55.60,54.60,54.60,52.90,,,,,,,,,,,-4.10,52.90
Hetionet,hole,add,37.50,34.70,35.50,33.60,30.80,46.00,47.60,47.40,48.70,48.60,41.70,41.10,41.40,41.10,39.70,,,,,,,,,,,-2.00,39.70
Hetionet,quate,add,42.10,41.70,39.60,36.50,35.50,59.40,57.40,55.40,55.80,56.40,50.70,49.60,47.50,46.10,45.90,,,,,,,,,,,-4.80,45.90
